Index,Close,SMA,EMA,RSI,StochK,StochD
1150,25.72,25.46,3.43,56.18,72.52,35.11
1151,26.05,25.51,3.47,56.46,97.71,58.52
1152,26.95,25.61,3.59,62.61,100.00,90.08
1153,26.84,25.76,3.58,70.99,94.95,97.55
1154,26.76,25.86,3.57,65.76,91.00,95.32
1155,27.38,25.98,3.65,68.41,100.00,95.32
1156,27.04,26.09,3.61,64.37,86.61,92.54
1157,27.40,26.20,3.65,65.33,100.00,95.54
1158,27.13,26.28,3.62,60.46,89.45,92.02
1159,26.70,26.32,3.56,55.50,72.66,87.37
1160,26.58,26.40,3.54,60.54,67.97,76.69
1161,27.08,26.54,3.61,68.88,87.50,76.04
1162,27.06,26.68,3.61,68.38,86.72,80.73
1163,26.70,26.81,3.56,67.48,72.66,82.29
1164,26.76,26.89,3.57,61.56,61.90,73.76
1165,26.77,26.94,3.57,58.61,53.33,62.63
1166,26.67,26.92,3.56,45.86,10.98,42.07
1167,27.75,26.98,3.70,60.46,100.00,54.77
1168,27.50,27.04,3.67,58.19,78.63,63.20
1169,28.10,27.09,3.75,58.00,100.00,92.88
1170,28.19,27.17,3.76,63.53,100.00,92.88
1171,28.25,27.23,3.77,60.76,100.00,100.00
1172,28.74,27.35,3.83,69.30,100.00,100.00
1173,29.20,27.52,3.89,79.76,100.00,100.00
1174,28.97,27.70,3.86,77.73,91.22,97.07
1175,28.56,27.80,3.81,67.54,74.70,88.64
1176,27.00,27.80,3.60,49.48,13.04,59.66
1177,27.34,27.84,3.65,55.57,26.48,38.08
1178,28.63,27.98,3.82,63.41,77.47,39.00
1179,27.34,28.02,3.65,53.45,26.48,43.48
1180,28.06,28.12,3.74,57.84,54.94,52.96
1181,28.06,28.14,3.74,51.99,48.18,43.20
1182,28.00,28.17,3.73,53.29,45.45,49.53
1183,28.29,28.19,3.77,51.30,58.64,50.76
1184,27.54,28.14,3.67,45.91,24.55,42.88
1185,28.47,28.16,3.80,51.25,66.82,50.00
1186,28.78,28.16,3.84,50.23,80.91,57.42
1187,29.25,28.16,3.90,50.29,100.00,82.58
1188,29.16,28.18,3.89,51.12,96.00,92.30
1189,28.78,28.19,3.84,51.30,79.11,91.70
1190,28.00,28.26,3.73,56.49,44.44,73.19
1191,25.83,28.16,3.44,42.08,0.00,41.19
1192,25.93,27.96,3.46,33.81,2.92,15.79
1193,26.72,27.92,3.56,46.05,26.02,9.65
1194,26.75,27.83,3.57,40.84,26.90,18.62
1195,27.60,27.79,3.68,47.13,51.75,34.89
1196,27.44,27.75,3.66,46.54,47.08,41.91
1197,27.68,27.71,3.69,46.21,54.09,50.97
1198,27.60,27.71,3.68,50.41,51.75,50.97
1199,27.80,27.67,3.71,44.96,57.60,54.48
1200,27.25,27.56,3.63,38.90,41.52,50.29
1201,27.37,27.42,3.65,35.63,45.03,48.05
1202,27.11,27.28,3.61,34.72,38.44,41.66
